2.6481e-08	2.6573e-08	2.6868e-08	2.7085e-08	2.7199e-08	2.7055e-08	2.7053e-08	2.6919e-08	2.6177e-08	2.6223e-08	2.6331e-08	2.6494e-08	2.6431e-08	2.6431e-08	2.6194e-08	2.6472e-08	2.6378e-08	2.652e-08	2.6679e-08	2.6514e-08	2.6268e-08	2.6368e-08	2.651e-08	2.6448e-08	2.6521e-08	2.6545e-08	2.6388e-08	2.6206e-08	2.5913e-08	2.5665e-08	2.5925e-08	2.5831e-08	2.5691e-08	2.5701e-08	2.5704e-08	2.5753e-08	2.8771e-08	3.6416e-08	4.872e-08	6.1685e-08	7.5463e-08	8.9471e-08	1.0397e-07	1.2006e-07	1.3292e-07	1.4367e-07	1.524e-07	1.5982e-07	1.6721e-07	1.7273e-07	1.7678e-07	1.7855e-07	1.7793e-07	1.7722e-07	1.7844e-07	1.7882e-07	1.7748e-07	1.7396e-07	1.6713e-07	1.5961e-07	1.5114e-07	1.4222e-07	1.4222e-07	1.3188e-07	1.2284e-07	1.1383e-07	1.049e-07	9.5787e-08	8.5266e-08	7.6342e-08	6.7403e-08	5.8629e-08	4.9935e-08	4.0016e-08	3.3013e-08	2.8075e-08	2.517e-08	2.387e-08	2.3114e-08	2.2716e-08	2.2499e-08	2.2533e-08	2.2481e-08	2.2304e-08	2.234e-08	2.2673e-08	2.2714e-08	2.2693e-08	2.2556e-08	2.2574e-08	2.2872e-08	2.3209e-08	2.3397e-08	2.3542e-08	2.3529e-08	2.3633e-08	2.3928e-08	2.3876e-08	2.379e-08	2.3607e-08	2.3732e-08	2.3823e-08	2.4105e-08	2.4174e-08	2.4369e-08	2.4063e-08	2.4071e-08	2.3699e-08	2.3227e-08	2.3629e-08	2.3953e-08	2.3843e-08	2.3843e-08	2.3919e-08	2.4106e-08	2.3671e-08	2.3191e-08	2.3106e-08	2.3023e-08	2.3239e-08	2.3338e-08	2.3376e-08	2.3602e-08	2.3716e-08	2.4203e-08	2.4073e-08	2.4009e-08	2.3856e-08	2.3426e-08	2.3364e-08	2.3285e-08	2.3503e-08	2.3292e-08	2.2812e-08	2.2606e-08	2.3028e-08	2.3324e-08	2.3431e-08
2.6637e-08	2.672e-08	2.687e-08	2.687e-08	2.6822e-08	2.7015e-08	2.6915e-08	2.6931e-08	2.683e-08	2.6175e-08	2.6288e-08	2.6371e-08	2.6497e-08	2.6429e-08	2.6283e-08	2.6565e-08	2.6435e-08	2.6503e-08	2.6679e-08	2.6366e-08	2.615e-08	2.6207e-08	2.6381e-08	2.6448e-08	2.6297e-08	2.6339e-08	2.6262e-08	2.6069e-08	2.5913e-08	2.5449e-08	2.5675e-08	2.5595e-08	2.5431e-08	2.5701e-08	2.546e-08	2.5712e-08	2.9304e-08	3.7506e-08	4.872e-08	6.3577e-08	7.7477e-08	9.1505e-08	1.0585e-07	1.2006e-07	1.3407e-07	1.4456e-07	1.5315e-07	1.6062e-07	1.6721e-07	1.7344e-07	1.7725e-07	1.7852e-07	1.7852e-07	1.7753e-07	1.7704e-07	1.7823e-07	1.7842e-07	1.7676e-07	1.7212e-07	1.6595e-07	1.583e-07	1.498e-07	1.409e-07	1.305e-07	1.2146e-07	1.1247e-07	1.0353e-07	9.4393e-08	8.3868e-08	7.4963e-08	6.6038e-08	5.7263e-08	4.8571e-08	3.8752e-08	3.1928e-08	2.7364e-08	2.4766e-08	2.3656e-08	2.2962e-08	2.26e-08	2.2399e-08	2.2459e-08	2.2394e-08	2.2184e-08	2.225e-08	2.2593e-08	2.2681e-08	2.2667e-08	2.2485e-08	2.2411e-08	2.2661e-08	2.3079e-08	2.3355e-08	2.3486e-08	2.3532e-08	2.3705e-08	2.4077e-08	2.4028e-08	2.3906e-08	2.3728e-08	2.3771e-08	2.3823e-08	2.3823e-08	2.4027e-08	2.4111e-08	2.4283e-08	2.3993e-08	2.4033e-08	2.3563e-08	2.3113e-08	2.347e-08	2.3791e-08	2.373e-08	2.379e-08	2.3822e-08	2.3332e-08	2.2938e-08	2.2892e-08	2.2792e-08	2.3037e-08	2.3222e-08	2.3348e-08	2.3595e-08	2.357e-08	2.4147e-08	2.3955e-08	2.3836e-08	2.3717e-08	2.3222e-08	2.3118e-08	2.3046e-08	2.3262e-08	2.297e-08	2.2522e-08	2.2299e-08	2.2745e-08	2.301e-08	2.3021e-08
2.6791e-08	2.6724e-08	2.6793e-08	2.6759e-08	2.65e-08	2.6706e-08	2.6661e-08	2.67e-08	2.6644e-08	2.6085e-08	2.6296e-08	2.635e-08	2.6444e-08	2.6384e-08	2.6338e-08	2.6621e-08	2.6465e-08	2.6456e-08	2.655e-08	2.6204e-08	2.6024e-08	2.604e-08	2.6238e-08	2.6282e-08	2.6061e-08	2.6108e-08	2.6085e-08	2.5904e-08	2.5776e-08	2.5247e-08	2.5416e-08	2.5369e-08	2.519e-08	2.5473e-08	2.5214e-08	2.5755e-08	2.9963e-08	3.8686e-08	5.0332e-08	6.5546e-08	7.9566e-08	9.3631e-08	9.3631e-08	1.0783e-07	1.2318e-07	1.3522e-07	1.4544e-07	1.539e-07	1.6142e-07	1.6882e-07	1.7413e-07	1.7769e-07	1.7846e-07	1.7714e-07	1.7688e-07	1.7801e-07	1.7799e-07	1.7601e-07	1.7212e-07	1.6472e-07	1.5695e-07	1.4843e-07	1.3955e-07	1.305e-07	1.2007e-07	1.111e-07	1.0214e-07	9.3002e-08	8.3868e-08	7.3616e-08	6.4718e-08	5.595e-08	4.7261e-08	3.8752e-08	3.0894e-08	2.6697e-08	2.4384e-08	2.343e-08	2.2962e-08	2.2466e-08	2.2291e-08	2.2365e-08	2.2289e-08	2.2184e-08	2.2183e-08	2.2513e-08	2.2646e-08	2.2642e-08	2.2485e-08	2.2277e-08	2.2483e-08	2.2975e-08	2.2975e-08	2.3291e-08	2.3415e-08	2.35e-08	2.3723e-08	2.4154e-08	2.4089e-08	2.3938e-08	2.3809e-08	2.3804e-08	2.3811e-08	2.3933e-08	2.4004e-08	2.4117e-08	2.3876e-08	2.3945e-08	2.3457e-08	2.2986e-08	2.3279e-08	2.3584e-08	2.3577e-08	2.3611e-08	2.3461e-08	2.2933e-08	2.2655e-08	2.266e-08	2.2552e-08	2.2819e-08	2.3087e-08	2.3297e-08	2.3556e-08	2.3384e-08	2.4039e-08	2.3797e-08	2.3624e-08	2.3539e-08	2.2992e-08	2.2843e-08	2.2783e-08	2.2998e-08	2.2648e-08	2.2261e-08	2.2042e-08	2.2465e-08	2.2691e-08	2.2645e-08
2.6783e-08	2.6731e-08	2.6782e-08	2.6543e-08	2.6079e-08	2.6293e-08	2.6308e-08	2.637e-08	2.6367e-08	2.5922e-08	2.623e-08	2.6263e-08	2.6337e-08	2.6299e-08	2.635e-08	2.6633e-08	2.6465e-08	2.6389e-08	2.64e-08	2.6044e-08	2.5901e-08	2.5878e-08	2.609e-08	2.6108e-08	2.5823e-08	2.5858e-08	2.5856e-08	2.5712e-08	2.5644e-08	2.5067e-08	2.5159e-08	2.5157e-08	2.4975e-08	2.4975e-08	2.5011e-08	2.4983e-08	2.5888e-08	3.0735e-08	3.9948e-08	5.3787e-08	6.7571e-08	8.1708e-08	9.5819e-08	1.0986e-07	1.2478e-07	1.3639e-07	1.4634e-07	1.5467e-07	1.6221e-07	1.6961e-07	1.7481e-07	1.7808e-07	1.7836e-07	1.7681e-07	1.7676e-07	1.778e-07	1.7756e-07	1.7525e-07	1.7113e-07	1.6346e-07	1.5557e-07	1.4703e-07	1.3817e-07	1.2911e-07	1.1868e-07	1.0973e-07	1.0075e-07	9.1615e-08	8.2493e-08	7.2291e-08	6.3432e-08	5.4678e-08	4.5994e-08	3.7547e-08	2.9919e-08	2.6077e-08	2.4027e-08	2.3201e-08	2.2793e-08	2.2324e-08	2.2186e-08	2.2264e-08	2.2264e-08	2.2185e-08	2.2016e-08	2.2146e-08	2.2446e-08	2.2617e-08	2.2627e-08	2.2422e-08	2.2191e-08	2.2362e-08	2.2907e-08	2.3291e-08	2.3325e-08	2.3416e-08	2.366e-08	2.4125e-08	2.4089e-08	2.3867e-08	2.3837e-08	2.3822e-08	2.3783e-08	2.3933e-08	2.3856e-08	2.3882e-08	2.3718e-08	2.3813e-08	2.3457e-08	2.2849e-08	2.3064e-08	2.3341e-08	2.3387e-08	2.3611e-08	2.3054e-08	2.2506e-08	2.2358e-08	2.2421e-08	2.2552e-08	2.2595e-08	2.2934e-08	2.3216e-08	2.3476e-08	2.3384e-08	2.3868e-08	2.3596e-08	2.3379e-08	2.3323e-08	2.2992e-08	2.2545e-08	2.2501e-08	2.2501e-08	2.2719e-08	2.2078e-08	2.2048e-08	2.1857e-08	2.2201e-08	2.2382e-08
2.6683e-08	2.6647e-08	2.6679e-08	2.6234e-08	2.5581e-08	2.5796e-08	2.5868e-08	2.5953e-08	2.6003e-08	2.5677e-08	2.6071e-08	2.6106e-08	2.618e-08	2.6178e-08	2.6312e-08	2.6594e-08	2.6436e-08	2.6312e-08	2.6246e-08	2.5898e-08	2.579e-08	2.5734e-08	2.5946e-08	2.5946e-08	2.5763e-08	2.5592e-08	2.5602e-08	2.5589e-08	2.5503e-08	2.5408e-08	2.4913e-08	2.4916e-08	2.4962e-08	2.4784e-08	2.4794e-08	2.4784e-08	2.6117e-08	3.1612e-08	4.1284e-08	5.5595e-08	6.9628e-08	8.3878e-08	9.8037e-08	1.1192e-07	1.2642e-07	1.376e-07	1.4729e-07	1.5549e-07	1.6302e-07	1.704e-07	1.7546e-07	1.7839e-07	1.7822e-07	1.7654e-07	1.7668e-07	1.776e-07	1.7715e-07	1.745e-07	1.701e-07	1.6217e-07	1.5416e-07	1.456e-07	1.3676e-07	1.2771e-07	1.1728e-07	1.0835e-07	9.9355e-08	9.0228e-08	8.1134e-08	7.0981e-08	6.2168e-08	5.3431e-08	5.3431e-08	4.476e-08	3.5297e-08	2.9011e-08	2.5508e-08	2.3696e-08	2.2974e-08	2.2441e-08	2.2187e-08	2.2096e-08	2.2169e-08	2.21e-08	2.1998e-08	2.215e-08	2.2401e-08	2.2602e-08	2.2633e-08	2.2455e-08	2.217e-08	2.232e-08	2.2891e-08	2.3266e-08	2.3212e-08	2.3271e-08	2.35e-08	2.3969e-08	2.3946e-08	2.3703e-08	2.3807e-08	2.3814e-08	2.3728e-08	2.3798e-08	2.3668e-08	2.3596e-08	2.353e-08	2.3649e-08	2.3331e-08	2.2703e-08	2.2834e-08	2.3072e-08	2.3163e-08	2.3388e-08	2.2628e-08	2.2082e-08	2.2064e-08	2.2185e-08	2.2314e-08	2.2375e-08	2.2767e-08	2.3096e-08	2.3096e-08	2.3345e-08	2.2884e-08	2.3623e-08	2.3349e-08	2.3103e-08	2.307e-08	2.2478e-08	2.2229e-08	2.2207e-08	2.2433e-08	2.2078e-08	2.1885e-08	2.1745e-08	2.1961e-08	2.2094e-08
2.6483e-08	2.6463e-08	2.6476e-08	2.5843e-08	2.5027e-08	2.5235e-08	2.5355e-08	2.5459e-08	2.5558e-08	2.5341e-08	2.5802e-08	2.5873e-08	2.5975e-08	2.5975e-08	2.5838e-08	2.6216e-08	2.6497e-08	2.6375e-08	2.6233e-08	2.5969e-08	2.5765e-08	2.5686e-08	2.5604e-08	2.5803e-08	2.5593e-08	2.5373e-08	2.5348e-08	2.5304e-08	2.529e-08	2.531e-08	2.4791e-08	2.47e-08	2.4786e-08	2.4619e-08	2.4598e-08	2.4634e-08	2.6449e-08	3.2583e-08	4.2685e-08	5.7432e-08	7.1696e-08	8.6054e-08	1.0026e-07	1.1399e-07	1.2809e-07	1.3889e-07	1.4833e-07	1.5639e-07	1.6387e-07	1.712e-07	1.7607e-07	1.7862e-07	1.7804e-07	1.7636e-07	1.7665e-07	1.7742e-07	1.7677e-07	1.7377e-07	1.6904e-07	1.6085e-07	1.5273e-07	1.4414e-07	1.4414e-07	1.3533e-07	1.2488e-07	1.1588e-07	1.0696e-07	9.7946e-08	8.884e-08	7.8442e-08	6.9678e-08	6.0914e-08	5.2196e-08	4.3547e-08	3.4245e-08	2.8177e-08	2.4994e-08	2.3396e-08	2.2756e-08	2.2273e-08	2.2064e-08	2.2029e-08	2.2094e-08	2.2054e-08	2.2043e-08	2.2202e-08	2.2389e-08	2.2609e-08	2.2667e-08	2.254e-08	2.2224e-08	2.237e-08	2.293e-08	2.3243e-08	2.3078e-08	2.3078e-08	2.3262e-08	2.3706e-08	2.3698e-08	2.3461e-08	2.3717e-08	2.3764e-08	2.3633e-08	2.3619e-08	2.3442e-08	2.3273e-08	2.3318e-08	2.3464e-08	2.3192e-08	2.2551e-08	2.2596e-08	2.2789e-08	2.2789e-08	2.2907e-08	2.2837e-08	2.2214e-08	2.1691e-08	2.179e-08	2.1963e-08	2.1881e-08	2.217e-08	2.2589e-08	2.293e-08	2.3152e-08	2.2568e-08	2.3297e-08	2.3054e-08	2.2801e-08	2.2782e-08	2.2207e-08	2.1907e-08	2.1909e-08	2.2149e-08	2.1852e-08	2.1764e-08	2.1695e-08	2.1753e-08	2.1837e-08
2.6178e-08	2.6168e-08	2.6163e-08	2.6163e-08	2.4856e-08	2.4437e-08	2.4632e-08	2.4782e-08	2.4899e-08	2.4449e-08	2.4909e-08	2.5412e-08	2.5564e-08	2.5724e-08	2.5626e-08	2.6066e-08	2.6346e-08	2.6281e-08	2.6148e-08	2.5835e-08	2.5636e-08	2.5583e-08	2.548e-08	2.5655e-08	2.5422e-08	2.5171e-08	2.5108e-08	2.5022e-08	2.5087e-08	2.5229e-08	2.4705e-08	2.4523e-08	2.4632e-08	2.4483e-08	2.4432e-08	2.4551e-08	2.6891e-08	3.3637e-08	4.4143e-08	5.9281e-08	7.3752e-08	8.8212e-08	1.0245e-07	1.1604e-07	1.298e-07	1.4027e-07	1.4949e-07	1.5739e-07	1.6477e-07	1.72e-07	1.7664e-07	1.7875e-07	1.7875e-07	1.7782e-07	1.7625e-07	1.7664e-07	1.7725e-07	1.7638e-07	1.7305e-07	1.6683e-07	1.595e-07	1.5128e-07	1.4267e-07	1.3387e-07	1.2344e-07	1.1446e-07	1.0555e-07	9.6525e-08	8.7448e-08	7.7097e-08	6.8375e-08	5.9659e-08	5.0959e-08	4.2344e-08	3.3238e-08	2.7427e-08	2.4539e-08	2.3127e-08	2.2554e-08	2.212e-08	2.1967e-08	2.1997e-08	2.2053e-08	2.2064e-08	2.2159e-08	2.2307e-08	2.2416e-08	2.2641e-08	2.2734e-08	2.2658e-08	2.233e-08	2.2485e-08	2.3005e-08	2.3215e-08	2.2927e-08	2.2851e-08	2.2972e-08	2.3368e-08	2.3371e-08	2.3159e-08	2.3565e-08	2.3659e-08	2.3659e-08	2.3487e-08	2.3122e-08	2.3179e-08	2.293e-08	2.3092e-08	2.3267e-08	2.2891e-08	2.2397e-08	2.2358e-08	2.2502e-08	2.2623e-08	2.2524e-08	2.184e-08	2.1364e-08	2.1551e-08	2.1766e-08	2.1705e-08	2.1987e-08	2.24e-08	2.2711e-08	2.289e-08	2.2224e-08	2.2906e-08	2.2724e-08	2.2484e-08	2.247e-08	2.1942e-08	2.1593e-08	2.1619e-08	2.1875e-08	2.1663e-08	2.1678e-08	2.1692e-08	2.1584e-08	2.1618e-08
2.5526e-08	2.5758e-08	2.5751e-08	2.5733e-08	2.4284e-08	2.3834e-08	2.4007e-08	2.4165e-08	2.4285e-08	2.3822e-08	2.4407e-08	2.4929e-08	2.5197e-08	2.5439e-08	2.5392e-08	2.5866e-08	2.6147e-08	2.6152e-08	2.6048e-08	2.5694e-08	2.5506e-08	2.5474e-08	2.5353e-08	2.5497e-08	2.525e-08	2.4992e-08	2.4893e-08	2.4763e-08	2.4905e-08	2.5167e-08	2.4663e-08	2.4397e-08	2.45e-08	2.4374e-08	2.4303e-08	2.4552e-08	2.7448e-08	3.4764e-08	4.5649e-08	6.1125e-08	7.5775e-08	9.0329e-08	9.0329e-08	1.0458e-07	1.1996e-07	1.3155e-07	1.4175e-07	1.5075e-07	1.585e-07	1.6671e-07	1.7278e-07	1.7715e-07	1.7878e-07	1.7757e-07	1.7628e-07	1.7666e-07	1.7708e-07	1.7599e-07	1.7231e-07	1.6568e-07	1.5814e-07	1.4982e-07	1.4119e-07	1.324e-07	1.2199e-07	1.1303e-07	1.0412e-07	9.509e-08	8.6049e-08	7.5744e-08	6.7062e-08	5.8391e-08	4.9706e-08	4.1141e-08	3.2271e-08	2.6767e-08	2.4145e-08	2.2894e-08	2.2372e-08	2.1989e-08	2.1901e-08	2.2005e-08	2.2054e-08	2.2139e-08	2.2321e-08	2.2444e-08	2.2469e-08	2.2688e-08	2.2818e-08	2.2786e-08	2.2461e-08	2.2634e-08	2.2634e-08	2.3094e-08	2.311e-08	2.2762e-08	2.2606e-08	2.2654e-08	2.2983e-08	2.2579e-08	2.281e-08	2.335e-08	2.3483e-08	2.3277e-08	2.2801e-08	2.2883e-08	2.2583e-08	2.286e-08	2.307e-08	2.274e-08	2.2243e-08	2.2129e-08	2.2221e-08	2.2313e-08	2.2195e-08	2.1533e-08	2.113e-08	2.1364e-08	2.1603e-08	2.156e-08	2.1832e-08	2.2209e-08	2.2451e-08	2.2572e-08	2.1873e-08	2.248e-08	2.2381e-08	2.2169e-08	2.2151e-08	2.1693e-08	2.1303e-08	2.135e-08	2.1618e-08	2.1508e-08	2.1619e-08	2.1726e-08	2.1459e-08	2.1446e-08
2.5051e-08	2.5224e-08	2.5207e-08	2.5181e-08	2.369e-08	2.3241e-08	2.3385e-08	2.3532e-08	2.3645e-08	2.3192e-08	2.3871e-08	2.4395e-08	2.4795e-08	2.513e-08	2.5138e-08	2.5622e-08	2.5903e-08	2.5986e-08	2.5923e-08	2.5539e-08	2.5365e-08	2.5352e-08	2.5214e-08	2.5322e-08	2.5076e-08	2.4842e-08	2.4713e-08	2.4547e-08	2.4758e-08	2.5129e-08	2.4667e-08	2.4334e-08	2.4334e-08	2.4393e-08	2.4246e-08	2.4221e-08	2.4652e-08	2.8127e-08	3.5955e-08	4.8778e-08	6.296e-08	7.7757e-08	9.2396e-08	1.0664e-07	1.2184e-07	1.333e-07	1.4328e-07	1.5211e-07	1.5968e-07	1.6772e-07	1.7355e-07	1.7761e-07	1.7874e-07	1.7729e-07	1.7635e-07	1.7669e-07	1.7689e-07	1.7556e-07	1.7154e-07	1.6449e-07	1.5677e-07	1.4835e-07	1.3971e-07	1.3093e-07	1.2052e-07	1.1158e-07	1.0267e-07	9.3639e-08	8.4641e-08	7.4377e-08	6.5732e-08	5.7098e-08	4.8424e-08	3.9926e-08	3.1342e-08	2.62e-08	2.3815e-08	2.2697e-08	2.2217e-08	2.1873e-08	2.1859e-08	2.204e-08	2.204e-08	2.2083e-08	2.2399e-08	2.2502e-08	2.2593e-08	2.2534e-08	2.2736e-08	2.2972e-08	2.29e-08	2.2587e-08	2.2783e-08	2.3171e-08	2.3018e-08	2.2587e-08	2.2358e-08	2.2333e-08	2.2581e-08	2.2165e-08	2.2432e-08	2.3069e-08	2.3222e-08	2.2991e-08	2.2428e-08	2.2554e-08	2.2247e-08	2.2631e-08	2.2883e-08	2.2594e-08	2.209e-08	2.1917e-08	2.1958e-08	2.1982e-08	2.1863e-08	2.13e-08	2.099e-08	2.1229e-08	2.1475e-08	2.1443e-08	2.1702e-08	2.2024e-08	2.217e-08	2.2225e-08	2.1539e-08	2.2052e-08	2.2045e-08	2.1872e-08	2.1844e-08	2.1473e-08	2.105e-08	2.105e-08	2.1112e-08	2.1386e-08	2.1283e-08	2.1581e-08	2.1782e-08	2.1385e-08
2.4517e-08	2.4606e-08	2.4569e-08	2.4541e-08	2.3101e-08	2.2679e-08	2.2793e-08	2.2913e-08	2.3012e-08	2.2593e-08	2.3338e-08	2.3852e-08	2.4384e-08	2.481e-08	2.4868e-08	2.5338e-08	2.5623e-08	2.5783e-08	2.5766e-08	2.536e-08	2.5208e-08	2.521e-08	2.521e-08	2.5056e-08	2.4904e-08	2.4899e-08	2.4727e-08	2.4579e-08	2.4393e-08	2.4621e-08	2.5116e-08	2.4724e-08	2.4346e-08	2.4313e-08	2.4221e-08	2.4184e-08	2.4858e-08	2.8924e-08	3.7206e-08	5.0405e-08	6.4793e-08	7.9707e-08	9.4419e-08	1.0864e-07	1.2365e-07	1.3504e-07	1.4484e-07	1.535e-07	1.6091e-07	1.6873e-07	1.7429e-07	1.78e-07	1.7862e-07	1.7701e-07	1.7642e-07	1.7671e-07	1.7668e-07	1.7508e-07	1.7074e-07	1.6328e-07	1.5539e-07	1.469e-07	1.3823e-07	1.2944e-07	1.1904e-07	1.101e-07	1.012e-07	9.2171e-08	8.3221e-08	7.2991e-08	6.4378e-08	5.577e-08	5.577e-08	4.7101e-08	3.7446e-08	3.045e-08	2.5713e-08	2.3537e-08	2.253e-08	2.1963e-08	2.1768e-08	2.1828e-08	2.2085e-08	2.2125e-08	2.2532e-08	2.2673e-08	2.2731e-08	2.2595e-08	2.2772e-08	2.3005e-08	2.2979e-08	2.2682e-08	2.29e-08	2.3214e-08	2.2889e-08	2.2405e-08	2.2122e-08	2.2036e-08	2.2192e-08	2.1772e-08	2.2039e-08	2.2722e-08	2.2862e-08	2.2618e-08	2.2004e-08	2.2196e-08	2.1939e-08	2.2413e-08	2.2716e-08	2.2456e-08	2.1942e-08	2.1723e-08	2.1714e-08	2.1639e-08	2.154e-08	2.1134e-08	2.0931e-08	2.1139e-08	2.1377e-08	2.1351e-08	2.1597e-08	2.1597e-08	2.1852e-08	2.1889e-08	2.155e-08	2.1246e-08	2.1652e-08	2.1738e-08	2.1608e-08	2.1337e-08	2.1292e-08	2.0849e-08	2.0919e-08	2.1188e-08	2.1206e-08	2.1555e-08	2.185e-08	2.1369e-08
