-7.8742e-09	-7.611e-09	-7.3528e-09	-7.1197e-09	-7.0937e-09	-7.3839e-09	-7.6352e-09	-7.6097e-09	-7.7835e-09	-8.1021e-09	-8.7218e-09	-9.0016e-09	-9.0391e-09	-8.7374e-09	-8.5367e-09	-8.377e-09	-8.377e-09	-8.3378e-09	-8.3686e-09	-8.6195e-09	-8.7297e-09	-8.9176e-09	-9.0833e-09	-9.1403e-09	-8.9441e-09	-8.8639e-09	-8.9329e-09	-7.9809e-09	-4.8314e-09	4.7787e-10	7.1548e-09	1.4623e-08	2.2371e-08	3.1881e-08	4.098e-08	4.9113e-08	5.6231e-08	6.3331e-08	7.1055e-08	7.7264e-08	8.1505e-08	8.2749e-08	8.0892e-08	7.6826e-08	7.6655e-08	7.9579e-08	8.1441e-08	7.8349e-08	6.9288e-08	5.9337e-08	4.8342e-08	3.6966e-08	2.5419e-08	1.5012e-08	1.0274e-08	5.6389e-09	-2.0536e-10	-4.9326e-09	-9.0979e-09	-1.0925e-08	-1.1561e-08	-1.1673e-08	-1.154e-08	-1.1087e-08	-1.056e-08	-1.018e-08	-1.018e-08	-9.8205e-09	-9.0627e-09	-8.3411e-09	-7.7208e-09	-6.9537e-09	-6.7803e-09	-6.3315e-09	-6.091e-09	-5.9952e-09	-6.1286e-09	-6.511e-09	-6.8999e-09	-7.213e-09	-7.4026e-09	-7.8064e-09	-8.3033e-09	-8.8838e-09	-9.303e-09	-9.3368e-09	-9.8085e-09	-1.0269e-08	-1.0411e-08	-1.0728e-08	-1.1154e-08	-1.1435e-08
-7.7136e-09	-7.4386e-09	-7.194e-09	-7.0076e-09	-7.0125e-09	-7.3282e-09	-7.3282e-09	-7.5144e-09	-7.355e-09	-7.7349e-09	-8.0966e-09	-8.7375e-09	-8.9685e-09	-8.8596e-09	-8.6179e-09	-8.4105e-09	-8.2246e-09	-8.1895e-09	-8.2664e-09	-8.5248e-09	-8.675e-09	-8.8605e-09	-9.0222e-09	-9.0598e-09	-8.8775e-09	-8.7698e-09	-8.7824e-09	-7.7833e-09	-4.4079e-09	1.0273e-09	7.7745e-09	1.5311e-08	2.3119e-08	3.2873e-08	4.1972e-08	4.9873e-08	5.6998e-08	6.414e-08	7.1766e-08	7.7794e-08	8.1769e-08	8.259e-08	8.0423e-08	7.6372e-08	7.6687e-08	7.9576e-08	8.0867e-08	7.7098e-08	6.7403e-08	5.7247e-08	4.6132e-08	3.4684e-08	2.3188e-08	1.2852e-08	8.0605e-09	3.7239e-09	3.7239e-09	-1.6418e-09	-6.7007e-09	-9.553e-09	-1.1148e-08	-1.1653e-08	-1.1657e-08	-1.1353e-08	-1.0913e-08	-1.0273e-08	-9.9778e-09	-9.6559e-09	-8.8928e-09	-8.1491e-09	-7.6097e-09	-6.8812e-09	-6.6305e-09	-6.1591e-09	-5.9681e-09	-5.9902e-09	-6.156e-09	-6.4991e-09	-6.9157e-09	-7.2643e-09	-7.4197e-09	-7.8152e-09	-8.311e-09	-8.8928e-09	-9.2872e-09	-9.3023e-09	-9.7642e-09	-1.0184e-08	-1.0301e-08	-1.0608e-08	-1.1047e-08	-1.134e-08
-7.7206e-09	-7.5532e-09	-7.2744e-09	-7.0441e-09	-6.9102e-09	-6.9306e-09	-7.2555e-09	-7.3869e-09	-7.355e-09	-7.7077e-09	-8.1503e-09	-8.7945e-09	-8.9548e-09	-8.7961e-09	-8.5362e-09	-8.3281e-09	-8.1124e-09	-8.0703e-09	-8.1779e-09	-8.4337e-09	-8.6185e-09	-8.7922e-09	-8.9401e-09	-8.967e-09	-8.8199e-09	-8.6922e-09	-8.64e-09	-7.5852e-09	-3.9643e-09	1.5986e-09	8.4166e-09	1.602e-08	2.3902e-08	3.3877e-08	4.2937e-08	5.0619e-08	5.7772e-08	6.4941e-08	7.2444e-08	7.825e-08	8.1929e-08	8.2326e-08	7.9903e-08	7.604e-08	7.6775e-08	7.9502e-08	7.9502e-08	8.0068e-08	7.3777e-08	6.5233e-08	5.4907e-08	4.3738e-08	3.2239e-08	1.8386e-08	1.0573e-08	5.6749e-09	1.6776e-09	-3.1232e-09	-7.579e-09	-9.9529e-09	-1.129e-08	-1.1667e-08	-1.158e-08	-1.1199e-08	-1.0712e-08	-9.9725e-09	-9.7637e-09	-9.481e-09	-8.7008e-09	-7.9402e-09	-7.4785e-09	-6.7916e-09	-6.4614e-09	-5.9655e-09	-5.8268e-09	-5.9627e-09	-6.1642e-09	-6.4724e-09	-6.9079e-09	-7.2867e-09	-7.4262e-09	-7.8239e-09	-8.3192e-09	-8.9082e-09	-9.2909e-09	-9.3052e-09	-9.7357e-09	-1.0107e-08	-1.0199e-08	-1.0479e-08	-1.0904e-08	-1.1204e-08
-7.5697e-09	-7.4114e-09	-7.1395e-09	-6.9237e-09	-6.8388e-09	-6.8533e-09	-7.1671e-09	-7.262e-09	-7.2544e-09	-7.7009e-09	-8.2557e-09	-8.8855e-09	-8.9577e-09	-8.7961e-09	-8.4805e-09	-8.2764e-09	-8.0327e-09	-7.9785e-09	-8.1779e-09	-8.3512e-09	-8.564e-09	-8.72e-09	-8.8459e-09	-8.967e-09	-8.7709e-09	-8.6331e-09	-8.5103e-09	-7.3793e-09	-3.9643e-09	2.2029e-09	9.0976e-09	1.6764e-08	2.4734e-08	3.489e-08	4.3869e-08	5.1358e-08	5.1358e-08	5.8548e-08	6.6479e-08	7.308e-08	7.8621e-08	8.1965e-08	8.1938e-08	7.8677e-08	7.5843e-08	7.6913e-08	7.9351e-08	7.9046e-08	7.1792e-08	6.2865e-08	5.2396e-08	4.1221e-08	2.9687e-08	1.5929e-08	8.2518e-09	3.2254e-09	-4.0999e-10	-4.5918e-09	-8.4017e-09	-1.0284e-08	-1.135e-08	-1.1606e-08	-1.1444e-08	-1.1004e-08	-1.0482e-08	-9.6618e-09	-9.5294e-09	-9.2825e-09	-8.471e-09	-7.7018e-09	-7.3089e-09	-6.6647e-09	-6.2626e-09	-5.7461e-09	-5.6629e-09	-5.8997e-09	-6.142e-09	-6.428e-09	-6.871e-09	-7.2736e-09	-7.4227e-09	-7.8365e-09	-8.3328e-09	-8.928e-09	-9.31e-09	-9.3382e-09	-9.3382e-09	-9.7188e-09	-9.9735e-09	-1.0105e-08	-1.0345e-08	-1.0735e-08
-7.4573e-09	-7.3049e-09	-7.0529e-09	-6.8513e-09	-6.7922e-09	-6.7824e-09	-7.0677e-09	-7.1455e-09	-7.1793e-09	-7.7064e-09	-8.3885e-09	-8.9884e-09	-8.9646e-09	-8.7427e-09	-8.4388e-09	-8.2422e-09	-7.9775e-09	-7.9124e-09	-8.1058e-09	-8.2822e-09	-8.5149e-09	-8.6512e-09	-8.7488e-09	-8.8684e-09	-8.7305e-09	-8.5948e-09	-8.5948e-09	-8.3983e-09	-7.1579e-09	-2.9867e-09	2.8515e-09	9.8342e-09	1.7559e-08	2.5632e-08	3.5906e-08	4.4759e-08	5.2097e-08	5.9324e-08	6.6479e-08	7.3679e-08	7.8909e-08	8.1876e-08	8.1426e-08	7.8677e-08	7.5775e-08	7.71e-08	7.9135e-08	7.7855e-08	6.9702e-08	6.0391e-08	4.9799e-08	3.8644e-08	2.7088e-08	1.3516e-08	5.9671e-09	8.2048e-10	-2.4492e-09	-5.9899e-09	-9.1298e-09	-1.0533e-08	-1.1327e-08	-1.1473e-08	-1.1254e-08	-1.0766e-08	-1.0223e-08	-9.3444e-09	-9.2671e-09	-9.047e-09	-8.1874e-09	-7.4215e-09	-7.0824e-09	-6.4805e-09	-6.0241e-09	-5.4983e-09	-5.474e-09	-5.7912e-09	-5.7912e-09	-6.0807e-09	-6.2815e-09	-6.8076e-09	-7.2282e-09	-7.4096e-09	-7.8509e-09	-8.3645e-09	-8.9473e-09	-9.3364e-09	-9.3872e-09	-9.7052e-09	-9.9099e-09	-1.0016e-08	-1.0212e-08	-1.0551e-08
-7.3843e-09	-7.2338e-09	-7.0123e-09	-6.8243e-09	-6.7622e-09	-6.7174e-09	-6.9645e-09	-7.0416e-09	-7.1273e-09	-7.7161e-09	-8.5245e-09	-9.081e-09	-8.9625e-09	-8.6916e-09	-8.3992e-09	-8.2124e-09	-8.2124e-09	-7.9389e-09	-7.8705e-09	-8.0203e-09	-8.2314e-09	-8.4749e-09	-8.593e-09	-8.6577e-09	-8.6804e-09	-8.6984e-09	-8.5794e-09	-8.3085e-09	-6.9138e-09	-2.4377e-09	3.5555e-09	1.0643e-08	1.8421e-08	2.6609e-08	3.6926e-08	4.5607e-08	5.2843e-08	6.0102e-08	6.7208e-08	7.4264e-08	7.9144e-08	8.1694e-08	8.0826e-08	7.8013e-08	7.5833e-08	7.7334e-08	7.8869e-08	7.6552e-08	6.9702e-08	5.7907e-08	4.7203e-08	3.6071e-08	2.4502e-08	1.3516e-08	3.7966e-09	-1.4318e-09	-4.3503e-09	-7.2599e-09	-9.1298e-09	-1.0686e-08	-1.122e-08	-1.127e-08	-1.1012e-08	-1.0484e-08	-9.9319e-09	-9.0239e-09	-9.0239e-09	-8.9689e-09	-8.4146e-09	-7.8381e-09	-7.09e-09	-6.7853e-09	-6.2237e-09	-5.417e-09	-5.2302e-09	-5.2671e-09	-5.6441e-09	-5.9841e-09	-6.1851e-09	-6.7228e-09	-7.1571e-09	-7.3876e-09	-7.8631e-09	-8.3729e-09	-8.9615e-09	-9.3619e-09	-9.4382e-09	-9.6865e-09	-9.8437e-09	-9.9325e-09	-1.0085e-08	-1.0365e-08
-7.3415e-09	-7.1885e-09	-7.0025e-09	-6.8278e-09	-6.7403e-09	-6.658e-09	-6.658e-09	-6.8643e-09	-6.9545e-09	-7.0821e-09	-7.7216e-09	-8.6393e-09	-9.1409e-09	-8.9385e-09	-8.5644e-09	-8.3496e-09	-8.1738e-09	-7.9088e-09	-7.8509e-09	-8.0119e-09	-8.2039e-09	-8.4477e-09	-8.5529e-09	-8.5816e-09	-8.6041e-09	-8.6744e-09	-8.5889e-09	-8.2456e-09	-6.6395e-09	-1.8406e-09	4.3209e-09	1.153e-08	1.9357e-08	2.7671e-08	3.795e-08	4.6428e-08	5.3604e-08	6.0889e-08	6.7934e-08	7.4862e-08	7.9361e-08	8.1457e-08	8.018e-08	7.7366e-08	7.601e-08	7.7616e-08	7.8567e-08	7.5193e-08	6.7591e-08	5.5507e-08	4.4694e-08	3.3567e-08	2.1988e-08	1.1206e-08	1.8179e-09	-3.4232e-09	-3.4232e-09	-6.0234e-09	-8.3441e-09	-1.0147e-08	-1.0729e-08	-1.1028e-08	-1.1001e-08	-1.0724e-08	-1.0157e-08	-9.6098e-09	-8.7035e-09	-8.6288e-09	-8.4146e-09	-7.4314e-09	-6.7149e-09	-6.4274e-09	-5.9052e-09	-5.417e-09	-4.9533e-09	-5.0525e-09	-5.4706e-09	-5.8605e-09	-6.0779e-09	-6.6217e-09	-7.0669e-09	-7.3574e-09	-7.869e-09	-8.3699e-09	-8.9658e-09	-9.3781e-09	-9.4772e-09	-9.6547e-09	-9.7715e-09	-9.8521e-09	-9.9707e-09	-1.0186e-08
-7.6324e-09	-7.3194e-09	-7.1594e-09	-7.0081e-09	-6.8659e-09	-6.7182e-09	-6.6038e-09	-6.7744e-09	-6.8882e-09	-7.0838e-09	-7.7148e-09	-8.7085e-09	-9.1459e-09	-8.8797e-09	-8.4727e-09	-8.2781e-09	-8.1131e-09	-7.8794e-09	-7.8521e-09	-8.0296e-09	-8.2043e-09	-8.4367e-09	-8.5378e-09	-8.5296e-09	-8.5438e-09	-8.6564e-09	-8.6203e-09	-8.2054e-09	-6.3274e-09	-1.1934e-09	5.145e-09	1.2488e-08	2.0363e-08	2.8807e-08	3.898e-08	4.7233e-08	5.4388e-08	6.1697e-08	6.8679e-08	7.55e-08	7.9591e-08	8.12e-08	7.9525e-08	7.6778e-08	7.6302e-08	7.7945e-08	7.7945e-08	7.8241e-08	7.3837e-08	6.3643e-08	5.3284e-08	4.2358e-08	3.1196e-08	1.9607e-08	7.1334e-09	1.0904e-10	-5.0455e-09	-7.3788e-09	-9.1846e-09	-1.0367e-08	-1.0654e-08	-1.0753e-08	-1.0671e-08	-1.0393e-08	-9.7954e-09	-9.2616e-09	-8.3841e-09	-8.2524e-09	-8.0141e-09	-6.9825e-09	-6.3093e-09	-6.0272e-09	-5.5444e-09	-5.0743e-09	-4.679e-09	-4.8405e-09	-5.2832e-09	-5.718e-09	-6.0779e-09	-6.5095e-09	-6.964e-09	-7.3195e-09	-7.8647e-09	-8.3699e-09	-8.9555e-09	-9.377e-09	-9.4902e-09	-9.6013e-09	-9.7715e-09	-9.774e-09	-9.873e-09	-1.0027e-08
-7.6727e-09	-7.3088e-09	-7.1366e-09	-7.0139e-09	-6.8701e-09	-6.6874e-09	-6.5543e-09	-6.7016e-09	-6.8471e-09	-7.0982e-09	-7.6874e-09	-8.7078e-09	-9.0737e-09	-8.7732e-09	-8.3517e-09	-8.1729e-09	-8.0175e-09	-7.8427e-09	-7.8723e-09	-8.0707e-09	-8.2316e-09	-8.4417e-09	-8.5491e-09	-8.5044e-09	-8.4939e-09	-8.6393e-09	-8.6616e-09	-8.1687e-09	-5.9699e-09	-4.9463e-10	6.0241e-09	1.3504e-08	2.1432e-08	3.0003e-08	4.002e-08	4.8038e-08	4.8038e-08	5.5202e-08	6.2533e-08	7.0329e-08	7.6205e-08	7.987e-08	8.0958e-08	7.8903e-08	7.5933e-08	7.6704e-08	7.832e-08	7.7907e-08	7.2541e-08	6.1975e-08	5.1334e-08	4.0281e-08	2.9022e-08	1.7417e-08	5.4791e-09	-1.2678e-09	-6.2132e-09	-8.3451e-09	-9.7369e-09	-1.0406e-08	-1.0476e-08	-1.0412e-08	-1.0294e-08	-1.003e-08	-9.4086e-09	-8.8949e-09	-8.0661e-09	-7.8487e-09	-7.5715e-09	-6.5069e-09	-5.8865e-09	-5.6026e-09	-5.1609e-09	-4.7268e-09	-4.4189e-09	-4.6412e-09	-5.0941e-09	-5.5649e-09	-5.9637e-09	-6.3914e-09	-6.8552e-09	-7.2746e-09	-7.8461e-09	-8.3507e-09	-8.9259e-09	-8.9259e-09	-9.3503e-09	-9.4632e-09	-9.5181e-09	-9.595e-09	-9.6968e-09	-9.7977e-09
-7.7052e-09	-7.3003e-09	-7.1105e-09	-7.0045e-09	-6.8445e-09	-6.6396e-09	-6.5092e-09	-6.653e-09	-6.8351e-09	-7.1228e-09	-7.6313e-09	-8.6131e-09	-8.9024e-09	-8.6063e-09	-8.1995e-09	-8.0306e-09	-7.8831e-09	-7.794e-09	-7.9069e-09	-8.1238e-09	-8.2745e-09	-8.456e-09	-8.5777e-09	-8.4983e-09	-8.4484e-09	-8.6176e-09	-8.6176e-09	-8.6998e-09	-8.1149e-09	-5.0877e-09	2.5747e-10	6.9547e-09	1.4568e-08	2.2558e-08	3.2524e-08	4.1071e-08	4.8855e-08	5.6056e-08	6.341e-08	7.1281e-08	7.7002e-08	8.023e-08	8.0768e-08	7.8354e-08	7.5757e-08	7.721e-08	7.8739e-08	7.7577e-08	7.1361e-08	6.0603e-08	4.9726e-08	3.8529e-08	2.7095e-08	1.5468e-08	4.0792e-09	-2.3339e-09	-6.9623e-09	-8.9509e-09	-1.0025e-08	-1.0298e-08	-1.0222e-08	-1.0025e-08	-9.8867e-09	-9.6474e-09	-9.0079e-09	-8.5171e-09	-7.7497e-09	-7.427e-09	-7.099e-09	-6.0196e-09	-5.4597e-09	-5.1719e-09	-4.7743e-09	-4.3903e-09	-4.1847e-09	-4.1847e-09	-4.465e-09	-4.9156e-09	-5.4093e-09	-5.728e-09	-6.2725e-09	-6.7468e-09	-7.2232e-09	-7.8092e-09	-8.2451e-09	-8.8724e-09	-9.2901e-09	-9.3827e-09	-9.3973e-09	-9.488e-09	-9.6192e-09	-9.7431e-09
