-9.0475e-09	-8.858e-09	-8.9426e-09	-8.987e-09	-9.0682e-09	-9.0277e-09	-8.9227e-09	-8.7656e-09	-8.7275e-09	-8.5251e-09	-8.4584e-09	-8.5971e-09	-8.8539e-09	-8.9849e-09	-9.0615e-09	-9.1296e-09	-9.5062e-09	-9.6041e-09	-9.5803e-09	-9.2338e-09	-9.3366e-09	-9.8437e-09	-9.871e-09	-9.8866e-09	-9.5771e-09	-7.6689e-09	-2.876e-09	3.7608e-09	1.1487e-08	1.977e-08	2.836e-08	3.894e-08	5.0903e-08	6.0478e-08	6.9776e-08	7.7732e-08	8.4609e-08	9.1654e-08	9.7589e-08	1.0148e-07	1.034e-07	1.0346e-07	1.014e-07	9.854e-08	9.6984e-08	9.5395e-08	9.3932e-08	8.933e-08	8.2088e-08	7.3686e-08	6.4692e-08	5.5522e-08	4.6417e-08	3.7331e-08	2.8387e-08	1.9575e-08	1.0914e-08	3.1206e-09	-1.7304e-09	-5.4733e-09	-8.3772e-09	-9.9285e-09	-1.1256e-08	-1.2245e-08	-1.2473e-08	-1.236e-08	-1.2366e-08	-1.2323e-08	-1.2334e-08	-1.2438e-08	-1.2431e-08	-1.2486e-08	-1.2683e-08	-1.2546e-08	-1.2247e-08	-1.192e-08	-1.179e-08	-1.1828e-08
-9.049e-09	-8.9134e-09	-8.9985e-09	-8.9937e-09	-8.9803e-09	-8.8625e-09	-8.7074e-09	-8.5247e-09	-8.463e-09	-8.2374e-09	-8.1729e-09	-8.3836e-09	-8.7343e-09	-8.9116e-09	-8.9735e-09	-9.0326e-09	-9.4147e-09	-9.4603e-09	-9.5062e-09	-9.1952e-09	-9.1613e-09	-9.7256e-09	-9.816e-09	-9.8196e-09	-9.3191e-09	-7.2026e-09	-2.2042e-09	4.5303e-09	1.2275e-08	2.0546e-08	2.9113e-08	3.9759e-08	5.1561e-08	6.107e-08	7.0316e-08	7.8194e-08	8.5101e-08	9.2201e-08	9.8027e-08	1.0179e-07	1.0365e-07	1.0354e-07	1.013e-07	9.847e-08	9.6706e-08	9.5339e-08	9.3715e-08	8.8976e-08	8.1516e-08	7.2907e-08	6.3795e-08	5.4629e-08	4.5551e-08	3.6494e-08	2.7605e-08	1.8803e-08	1.017e-08	2.7759e-09	-1.7867e-09	-5.436e-09	-8.2666e-09	-9.7463e-09	-1.1114e-08	-1.2127e-08	-1.2328e-08	-1.2179e-08	-1.2153e-08	-1.2113e-08	-1.2113e-08	-1.2226e-08	-1.2226e-08	-1.2243e-08	-1.2348e-08	-1.2504e-08	-1.233e-08	-1.1991e-08	-1.1642e-08	-1.1553e-08
-9.031e-09	-8.9516e-09	-9.0148e-09	-8.9631e-09	-8.862e-09	-8.6766e-09	-8.4808e-09	-8.2877e-09	-8.2129e-09	-7.9807e-09	-7.925e-09	-8.194e-09	-8.6144e-09	-8.8241e-09	-8.8723e-09	-8.9436e-09	-9.3181e-09	-9.296e-09	-9.3824e-09	-9.1181e-09	-8.969e-09	-9.5704e-09	-9.7285e-09	-9.7331e-09	-9.0591e-09	-6.7229e-09	-1.5361e-09	5.2942e-09	1.3068e-08	2.1337e-08	2.9887e-08	4.0527e-08	5.2148e-08	6.1632e-08	7.085e-08	7.085e-08	7.8659e-08	8.5607e-08	9.2744e-08	9.8498e-08	1.0214e-07	1.0393e-07	1.0365e-07	1.0126e-07	9.8475e-08	9.6579e-08	9.5438e-08	9.3679e-08	8.8773e-08	8.1079e-08	7.2252e-08	6.3018e-08	5.3832e-08	4.4765e-08	3.5742e-08	2.6905e-08	1.8111e-08	9.4982e-09	2.5634e-09	-1.8386e-09	-5.4645e-09	-8.2069e-09	-9.6344e-09	-1.0961e-08	-1.2005e-08	-1.217e-08	-1.1985e-08	-1.1933e-08	-1.1915e-08	-1.1901e-08	-1.2002e-08	-1.2033e-08	-1.2187e-08	-1.2285e-08	-1.2085e-08	-1.1723e-08	-1.1355e-08	-1.1315e-08
-8.9857e-09	-8.9857e-09	-8.9185e-09	-8.9735e-09	-8.8821e-09	-8.7083e-09	-8.4731e-09	-8.2524e-09	-8.0666e-09	-7.9933e-09	-7.7767e-09	-7.7386e-09	-8.0431e-09	-8.4969e-09	-8.719e-09	-8.7563e-09	-8.8674e-09	-9.1206e-09	-9.1121e-09	-9.1968e-09	-8.9893e-09	-8.7606e-09	-9.3738e-09	-9.6008e-09	-9.6226e-09	-8.8072e-09	-6.2415e-09	-8.8386e-10	6.0431e-09	1.3864e-08	2.2145e-08	3.069e-08	4.1882e-08	5.267e-08	6.2169e-08	7.1382e-08	7.9128e-08	8.6124e-08	9.3278e-08	9.9001e-08	1.0252e-07	1.0424e-07	1.0377e-07	1.0126e-07	9.8557e-08	9.6611e-08	9.5682e-08	9.3799e-08	8.8662e-08	8.0726e-08	7.1683e-08	6.2331e-08	5.3109e-08	4.4043e-08	3.5055e-08	2.6264e-08	1.7473e-08	8.8771e-09	2.434e-09	-1.9057e-09	-5.5553e-09	-8.1957e-09	-9.5847e-09	-1.0936e-08	-1.1881e-08	-1.2006e-08	-1.179e-08	-1.1716e-08	-1.1731e-08	-1.17e-08	-1.1775e-08	-1.1809e-08	-1.2009e-08	-1.2037e-08	-1.1824e-08	-1.1452e-08	-1.1069e-08	-1.1082e-08
-8.8908e-09	-8.9056e-09	-8.8189e-09	-8.8575e-09	-8.7383e-09	-8.515e-09	-8.2556e-09	-8.0315e-09	-7.8733e-09	-7.8203e-09	-7.6459e-09	-7.6362e-09	-7.9452e-09	-8.3847e-09	-8.5936e-09	-8.6242e-09	-8.8086e-09	-9.0234e-09	-8.914e-09	-8.9548e-09	-8.8118e-09	-8.543e-09	-9.1424e-09	-9.436e-09	-9.4887e-09	-8.5666e-09	-5.7638e-09	-2.5155e-10	6.7735e-09	1.466e-08	2.297e-08	3.152e-08	4.2494e-08	5.3154e-08	6.2695e-08	7.1913e-08	7.9602e-08	8.6651e-08	9.3802e-08	9.9519e-08	1.0292e-07	1.0454e-07	1.0389e-07	1.0131e-07	9.8707e-08	9.6776e-08	9.6026e-08	9.3939e-08	8.858e-08	8.0407e-08	7.116e-08	6.1702e-08	5.2436e-08	4.3365e-08	3.4412e-08	2.5659e-08	1.6861e-08	8.2849e-09	2.337e-09	-2.0079e-09	-5.7041e-09	-8.2299e-09	-9.588e-09	-1.0935e-08	-1.176e-08	-1.1847e-08	-1.1604e-08	-1.1512e-08	-1.1561e-08	-1.1512e-08	-1.1551e-08	-1.158e-08	-1.1819e-08	-1.1773e-08	-1.1557e-08	-1.1189e-08	-1.0796e-08	-1.0863e-08
-8.7763e-09	-8.7836e-09	-8.6608e-09	-8.6679e-09	-8.5339e-09	-8.2859e-09	-8.029e-09	-7.8243e-09	-7.7125e-09	-7.6975e-09	-7.5902e-09	-7.6193e-09	-7.902e-09	-8.2811e-09	-8.4515e-09	-8.4795e-09	-8.7671e-09	-8.9278e-09	-8.7113e-09	-8.6788e-09	-8.6046e-09	-8.328e-09	-8.893e-09	-9.248e-09	-9.337e-09	-8.3332e-09	-5.2884e-09	3.6467e-10	7.4876e-09	1.5453e-08	2.3804e-08	3.2371e-08	4.3088e-08	5.3627e-08	6.3222e-08	7.2446e-08	8.0081e-08	8.7183e-08	9.4311e-08	1.0004e-07	1.0333e-07	1.0484e-07	1.0399e-07	1.0138e-07	9.8917e-08	9.7048e-08	9.6426e-08	9.4048e-08	8.8465e-08	8.0069e-08	7.0644e-08	6.1099e-08	5.1792e-08	4.2715e-08	3.3794e-08	2.5067e-08	1.625e-08	7.6996e-09	2.2216e-09	-2.1651e-09	-5.9067e-09	-8.3062e-09	-9.6352e-09	-1.095e-08	-1.1645e-08	-1.17e-08	-1.1438e-08	-1.1329e-08	-1.1405e-08	-1.1338e-08	-1.134e-08	-1.1355e-08	-1.1624e-08	-1.1504e-08	-1.1296e-08	-1.0944e-08	-1.0548e-08	-1.0664e-08
-8.6192e-09	-8.6223e-09	-8.4601e-09	-8.4237e-09	-8.2848e-09	-8.0331e-09	-7.8003e-09	-7.6336e-09	-7.582e-09	-7.6176e-09	-7.5934e-09	-7.6684e-09	-7.9037e-09	-8.1897e-09	-8.3027e-09	-8.3307e-09	-8.7376e-09	-8.8338e-09	-8.5141e-09	-8.3919e-09	-8.3869e-09	-8.1281e-09	-8.6427e-09	-9.0513e-09	-9.1733e-09	-8.1029e-09	-4.8137e-09	9.6899e-10	8.188e-09	1.6241e-08	2.4643e-08	3.3233e-08	4.3685e-08	5.4116e-08	6.3766e-08	7.2983e-08	8.0564e-08	8.7716e-08	9.4805e-08	1.0054e-07	1.0372e-07	1.0511e-07	1.0406e-07	1.0148e-07	9.9178e-08	9.7398e-08	9.6835e-08	9.4071e-08	8.8254e-08	7.9661e-08	7.0095e-08	6.0491e-08	5.1152e-08	4.2074e-08	3.3179e-08	2.4464e-08	1.5613e-08	7.0992e-09	2.0373e-09	-2.3972e-09	-6.1588e-09	-8.4218e-09	-9.7173e-09	-1.0973e-08	-1.1541e-08	-1.1575e-08	-1.1302e-08	-1.1177e-08	-1.1263e-08	-1.118e-08	-1.1147e-08	-1.1144e-08	-1.1428e-08	-1.1243e-08	-1.1053e-08	-1.0726e-08	-1.0335e-08	-1.0494e-08
-8.4293e-09	-8.4339e-09	-8.2336e-09	-8.1446e-09	-8.0076e-09	-7.769e-09	-7.5765e-09	-7.4622e-09	-7.4795e-09	-7.5722e-09	-7.6383e-09	-7.7633e-09	-7.9397e-09	-8.1141e-09	-8.1572e-09	-8.1866e-09	-8.7148e-09	-8.7412e-09	-8.3324e-09	-8.1173e-09	-8.1784e-09	-7.9554e-09	-8.4088e-09	-8.86e-09	-9.0035e-09	-7.8713e-09	-4.3382e-09	1.5656e-09	8.8772e-09	1.702e-08	2.5479e-08	3.4099e-08	4.4304e-08	5.4649e-08	6.4339e-08	7.3525e-08	8.1053e-08	8.8247e-08	9.528e-08	1.0102e-07	1.0409e-07	1.0533e-07	1.0408e-07	1.0158e-07	9.9482e-08	9.7802e-08	9.7207e-08	9.4071e-08	8.7885e-08	7.9132e-08	6.9474e-08	5.9847e-08	5.0495e-08	4.1423e-08	3.2547e-08	2.3827e-08	1.4923e-08	6.4617e-09	1.7334e-09	-2.7241e-09	-6.4561e-09	-8.5734e-09	-9.8252e-09	-1.0997e-08	-1.145e-08	-1.1481e-08	-1.1207e-08	-1.1066e-08	-1.1137e-08	-1.1041e-08	-1.0982e-08	-1.0953e-08	-1.1238e-08	-1.1003e-08	-1.084e-08	-1.0544e-08	-1.0169e-08	-1.0359e-08
-8.2168e-09	-8.231e-09	-7.9978e-09	-7.8502e-09	-7.7188e-09	-7.5061e-09	-7.3644e-09	-7.3127e-09	-7.4024e-09	-7.5534e-09	-7.708e-09	-7.8837e-09	-7.9995e-09	-8.0578e-09	-8.0254e-09	-8.056e-09	-8.6934e-09	-8.6502e-09	-8.176e-09	-7.8781e-09	-7.9985e-09	-7.8223e-09	-8.2085e-09	-8.6887e-09	-8.8334e-09	-7.6343e-09	-3.8604e-09	2.1586e-09	9.5577e-09	1.7788e-08	2.6308e-08	3.4961e-08	4.4967e-08	5.5252e-08	6.4955e-08	7.4075e-08	8.1547e-08	8.8772e-08	9.5735e-08	1.0145e-07	1.0442e-07	1.055e-07	1.0405e-07	1.0168e-07	9.9819e-08	9.8231e-08	9.7497e-08	9.3957e-08	8.7296e-08	7.8428e-08	6.8741e-08	5.9134e-08	4.9798e-08	4.0745e-08	3.1877e-08	2.3133e-08	1.4154e-08	5.7651e-09	1.2592e-09	-3.1656e-09	-6.7946e-09	-8.758e-09	-9.9497e-09	-1.1016e-08	-1.1376e-08	-1.1422e-08	-1.1158e-08	-1.0999e-08	-1.1026e-08	-1.092e-08	-1.0848e-08	-1.079e-08	-1.1058e-08	-1.0791e-08	-1.0663e-08	-1.0405e-08	-1.0057e-08	-1.0265e-08
-7.9918e-09	-8.0262e-09	-7.7696e-09	-7.5604e-09	-7.4351e-09	-7.2568e-09	-7.171e-09	-7.188e-09	-7.3484e-09	-7.5531e-09	-7.7852e-09	-8.0094e-09	-8.0726e-09	-8.0245e-09	-7.9174e-09	-7.9475e-09	-8.668e-09	-8.5607e-09	-8.055e-09	-7.6974e-09	-7.8666e-09	-7.741e-09	-8.0592e-09	-8.5516e-09	-8.6689e-09	-7.3876e-09	-3.3786e-09	2.7522e-09	1.0232e-08	1.8543e-08	2.7122e-08	3.5811e-08	4.5692e-08	5.5952e-08	6.5627e-08	7.4635e-08	8.2048e-08	8.9288e-08	9.6166e-08	1.0183e-07	1.047e-07	1.0558e-07	1.0395e-07	1.0178e-07	1.0018e-07	9.8659e-08	9.7658e-08	9.3651e-08	8.6452e-08	7.7523e-08	6.7873e-08	5.8333e-08	4.9044e-08	4.0027e-08	3.1155e-08	2.2365e-08	1.3289e-08	4.9971e-09	5.8771e-10	-3.7288e-09	-7.1679e-09	-8.9711e-09	-1.0083e-08	-1.1028e-08	-1.1313e-08	-1.1389e-08	-1.1144e-08	-1.0967e-08	-1.0926e-08	-1.0814e-08	-1.0739e-08	-1.065e-08	-1.0886e-08	-1.0604e-08	-1.0519e-08	-1.0302e-08	-9.993e-09	-1.0208e-08
